"res","true","agreed","n_obs","prop","true_fct","area"
70,4,346541,378379,0.915856852520885,"4",4900
70,5,77033,95527,0.806400284736253,"5",4900
75,2,30504,35480,0.859751972942503,"2",5625
75,3,1390439,1458451,0.95336696261993,"3",5625
75,4,301148,329546,0.913826901252025,"4",5625
75,5,65695,82078,0.800397183167231,"5",5625
80,2,26565,31076,0.854839747715279,"2",6400
80,3,1223269,1283745,0.952890955758348,"3",6400
80,4,264176,289754,0.911725118548838,"4",6400
80,5,57263,71544,0.800388572067539,"5",6400
85,2,23510,27491,0.855188970935943,"2",7225
85,3,1083684,1137461,0.952721895519934,"3",7225
85,4,233724,257164,0.908851938840584,"4",7225
85,5,50059,62791,0.797232087401061,"5",7225
90,2,20867,24480,0.852410130718954,"2",8100
90,3,967196,1015187,0.952726936022624,"3",8100
90,4,207947,229125,0.90757010365521,"4",8100
90,5,44153,55397,0.797028719966785,"5",8100
95,2,18657,22003,0.847929827750761,"2",9025
95,3,869303,912243,0.952929208555177,"3",9025
95,4,186376,205825,0.905507105550832,"4",9025
95,5,38849,49109,0.791076991997394,"5",9025
100,2,16761,19875,0.843320754716981,"2",10000
100,3,784605,823634,0.952613660922206,"3",10000
100,4,167929,185584,0.904867876541081,"4",10000
100,5,34780,44122,0.788268890802774,"5",10000
200,2,3875,4715,0.821845174973489,"2",40000
200,3,196862,207654,0.948028932743891,"3",40000
200,4,40528,46587,0.869942258569987,"4",40000
200,5,7337,9666,0.759052348437823,"5",40000
300,2,1597,2029,0.787087235091178,"2",90000
300,3,87583,92984,0.941914738019444,"3",90000
300,4,17537,20736,0.845727237654321,"4",90000
300,5,2887,3886,0.742923314462172,"5",90000
400,2,839,1114,0.753141831238779,"2",160000
400,3,49224,52373,0.939873598991847,"3",160000
400,4,9554,11628,0.821637426900585,"4",160000
400,5,1514,2044,0.740704500978474,"5",160000
500,2,503,703,0.715504978662873,"2",250000
500,3,31507,33785,0.932573627349415,"3",250000
500,4,5978,7432,0.804359526372443,"4",250000
500,5,857,1197,0.715956558061821,"5",250000
600,2,338,495,0.682828282828283,"2",360000
600,3,21964,23587,0.93119091024717,"3",360000
600,4,4108,5133,0.800311708552503,"4",360000
600,5,560,795,0.70440251572327,"5",360000
700,2,228,361,0.631578947368421,"2",490000
700,3,16050,17279,0.928873198680479,"3",490000
700,4,2957,3814,0.775301520713162,"4",490000
700,5,376,548,0.686131386861314,"5",490000
800,2,172,242,0.710743801652893,"2",640000
800,3,12293,13328,0.92234393757503,"3",640000
800,4,2230,2883,0.773499826569546,"4",640000
800,5,273,430,0.634883720930233,"5",640000
900,2,126,200,0.63,"2",810000
900,3,9770,10640,0.918233082706767,"3",810000
900,4,1721,2241,0.767960731816154,"4",810000
900,5,191,287,0.665505226480836,"5",810000
1000,2,94,162,0.580246913580247,"2",1000000
1000,3,7866,8544,0.92064606741573,"3",1000000
1000,4,1392,1862,0.747583243823845,"4",1000000
1000,5,151,247,0.611336032388664,"5",1000000
1500,2,32,58,0.551724137931034,"2",2250000
1500,3,3493,3850,0.907272727272727,"3",2250000
1500,4,562,797,0.705144291091593,"4",2250000
1500,5,50,79,0.632911392405063,"5",2250000
2000,2,10,30,0.333333333333333,"2",4000000
2000,3,1970,2194,0.897903372835005,"3",4000000
2000,4,297,415,0.71566265060241,"4",4000000
2000,5,16,26,0.615384615384615,"5",4000000
2500,2,0,23,0,"2",6250000
2500,3,1261,1409,0.894960965223563,"3",6250000
2500,4,190,263,0.722433460076046,"4",6250000
2500,5,9,17,0.529411764705882,"5",6250000
3000,2,2,13,0.153846153846154,"2",9000000
3000,3,851,939,0.906283280085197,"3",9000000
3000,4,125,178,0.702247191011236,"4",9000000
3000,5,5,11,0.454545454545455,"5",9000000
